ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Delivery_Distance,Delivery_Speed,Delivery_Distance_km
0x4607_x,INDORES13DEL02,37,4.9,22.745049,75.892471,22.765049,75.912471,11:45,4,0,2,3,3,0.0,1,3,24.0,0.028284271247458786,Normal,3.0251492856775037
0xb379_x,BANGRES18DEL02,34,4.5,12.913041,77.683237,13.043041,77.813237,19:50,3,1,2,3,4,1.0,1,1,33.0,0.1838477631084997,Normal,20.183529728733618
0x20f7_x,BANGRES18DEL01,37,4.4,12.913041,77.683237,12.953041,77.723237,13:55,6,0,0,0,3,2.0,1,1,42.0,0.05656854249491883,Slow,6.21086415606354
0x7804_x,HYDRES13DEL02,28,4.9,17.431477,78.40035,17.451477,78.42035,11:15,2,2,1,2,4,1.0,1,3,19.0,0.028284271247458786,Fast,3.0736184684147863
0x7faf_x,RANCHIRES07DEL01,37,4.6,23.359407,85.325055,23.429407,85.395055,23:60,3,2,0,2,3,1.0,1,1,25.0,0.09899494936611203,Normal,10.56497410160339
0x5218_x,BANGRES02DEL02,20,4.7,12.970221,77.645396,13.100221,77.775396,18:10,4,3,1,1,4,0.0,1,1,14.0,0.18384776310849843,Fast,20.18126391655723
0xcafe_x,ALHRES13DEL02,32,4.8,25.451646,81.832796,25.581646,81.962796,22:25,3,2,2,0,4,1.0,1,4,29.0,0.18384776310849843,Normal,19.471476176410082
0x8c03_x,COIMBRES09DEL01,34,5.0,11.008638,76.984311,11.078638,77.054311,18:45,2,3,1,0,3,1.0,1,3,22.0,0.09899494936611203,Normal,10.90628903651029
0xceec_x,KNPRES04DEL03,37,4.6,26.471529,80.313458,26.501529,80.343458,17:60,1,3,0,0,3,1.0,1,1,28.0,0.04242640687119446,Normal,4.476870823146776
0x38c6_x,JAPRES11DEL01,24,4.8,26.90294,75.793007,26.94294,75.833007,13:25,6,0,2,2,2,0.0,1,3,12.0,0.05656854249491757,Fast,5.959018323622379
0x5d6d,BANGRES19DEL01,23,4.4,12.914264,77.6784,12.924264,77.6884,8:45,2,2,0,1,3,1.0,1,3,26.0,0.014142135623735673,Normal,1.5527578022548725
0xfb5,VADRES05DEL01,23,4.2,22.310526,73.170937,22.380526,73.240937,18:55,3,3,0,0,3,1.0,1,3,35.0,0.09899494936612209,Normal,10.602497166339631
0xa4a2,COIMBRES010DEL03,34,4.8,11.003008,76.97544,11.093008,77.06544,23:60,3,2,2,2,2,1.0,1,1,27.0,0.12727922061357083,Normal,14.022268860182423
0x81ae,PUNERES17DEL03,22,4.7,18.530963,73.828972,18.560963,73.858972,23:40,4,2,2,1,4,0.0,1,4,22.0,0.04242640687119446,Normal,4.596738270616882
0xb52d,VADRES04DEL03,21,5.0,0.0,0.0,0.03,0.03,17:45,1,3,0,3,3,0.0,1,1,20.0,0.042426406871192854,Fast,4.717601092054723
0x61d6,JAPRES08DEL03,27,4.9,26.910262,75.783013,27.000262,75.873013,22:30,1,2,1,2,3,0.0,1,1,29.0,0.12727922061358088,Normal,13.406088270680275
0xa40f,JAPRES13DEL03,29,4.7,26.846156,75.8023,26.936156,75.8923,23:30,2,2,2,3,4,1.0,1,1,14.0,0.12727922061358088,Fast,13.409462339213027
0xcbcc,DEHRES010DEL01,20,4.9,30.328174,78.049117,30.398174,78.119117,22:30,2,2,2,1,2,0.0,1,3,15.0,0.09899494936612209,Fast,10.280572823486576
0x6c5c,HYDRES02DEL01,35,4.3,17.41233,78.449654,17.45233,78.489654,14:60,6,0,1,3,3,1.0,1,4,34.0,0.05656854249492762,Normal,6.147383751705428
0x2188,MYSRES13DEL02,38,4.6,12.310972,76.659264,12.390972,76.739264,22:20,3,2,1,0,3,0.0,1,3,18.0,0.1131370849898565,Fast,12.435540495461442
0x84eb,CHENRES16DEL03,29,4.9,13.049645,80.242268,13.079645,80.272268,17:60,1,3,2,0,3,1.0,1,1,14.0,0.0424264068711932,Fast,4.65694538594946
0x8999,SURRES13DEL01,28,4.6,21.170096,72.789122,21.210096,72.829122,15:55,3,3,1,3,3,0.0,1,1,27.0,0.05656854249491757,Normal,6.081204324626466
0x2c49,RANCHIRES02DEL02,32,4.5,0.0,0.0,0.05,0.05,17:40,3,3,0,0,3,0.0,1,1,26.0,0.07071067811865477,Normal,7.8626681674103684
0xd486,LUDHRES09DEL02,29,4.9,30.885814,75.786976,30.935814,75.836976,24:05,3,2,1,3,3,0.0,1,3,10.0,0.0707106781186633,Fast,7.325604384960364
0x6192,RANCHIRES010DEL03,0,4.630110732538331,23.354422,85.3329,23.384422,85.3629,19:15,4,3,1,0,4,0.0,1,1,15.0,0.04242640687119446,Fast,4.528236597449021
0x394e,SURRES18DEL03,39,4.6,21.149834,72.778666,21.239834,72.868666,19:50,4,1,0,2,3,1.0,1,3,28.0,0.12727922061358088,Normal,13.682504886916606
0x1341,INDORES09DEL02,32,5.0,22.725835,75.887648,22.805835,75.967648,17:55,6,3,2,3,4,1.0,1,1,20.0,0.11313708498984519,Fast,12.10015723816894
0x8bdb,HYDRES12DEL03,21,4.9,17.429585,78.392621,17.489585,78.452621,17:55,6,3,2,2,2,1.0,1,1,23.0,0.08485281374237887,Normal,9.220418694558179
0x7a0e,HYDRES17DEL01,27,4.7,17.451976,78.385883,17.521976,78.455883,19:30,6,1,1,0,4,1.0,1,1,28.0,0.09899494936611203,Normal,10.756383853403822
0x3175,JAPRES19DEL02,33,4.8,26.913726,75.75282,26.963726,75.80282,17:35,3,3,2,1,4,1.0,1,1,27.0,0.07071067811865325,Normal,7.448311138215936
0xc54a,LUDHRES08DEL03,29,4.7,30.899992,75.831338,30.929992,75.861338,19:05,3,3,2,0,4,1.0,1,1,28.0,0.042426406871191945,Normal,4.395281348843586
0x1f1d,MYSRES04DEL02,31,4.6,12.3085,76.665808,12.3585,76.715808,23:45,4,2,0,2,3,0.0,1,1,22.0,0.07071067811865199,Normal,7.772466272035551
0x29b9,BANGRES06DEL01,35,4.6,12.979096,77.640625,12.989096,77.650625,9:45,1,2,0,2,3,1.0,1,3,25.0,0.014142135623734417,Normal,1.5525609831264333
0xcacc,AURGRES16DEL01,22,4.8,0.0,0.0,0.11,0.11,17:30,3,3,0,3,3,1.0,1,3,23.0,0.15556349186104046,Normal,17.29786575291325
0x2681,COIMBRES04DEL02,23,4.6,11.024839,77.007003,11.104839,77.087003,20:50,6,1,1,1,3,1.0,1,3,23.0,0.11313708498984645,Normal,12.463888116757749
0x7ebf,COIMBRES17DEL02,22,4.7,11.026117,76.944652,11.106117,77.024652,19:50,3,1,2,3,4,1.0,1,3,26.0,0.11313708498984645,Normal,12.463861442061555
0x82e4,BANGRES09DEL01,21,4.8,12.934179,77.615797,12.974179,77.655797,16:40,2,3,2,0,3,1.0,1,1,23.0,0.05656854249492762,Normal,6.210607623190057
0x4a7c,BANGRES010DEL03,27,4.7,12.933298,77.614293,12.993298,77.674293,18:25,2,3,2,1,2,1.0,1,1,21.0,0.0848528137423864,Normal,9.315745106316243
0x7141,SURRES09DEL01,27,4.8,21.175975,72.795503,21.185975,72.805503,10:25,0,2,0,0,3,1.0,1,1,16.0,0.014142135623733162,Fast,1.5203447277401048
0x3b07,SURRES06DEL03,28,4.7,21.185047,72.80859,21.245047,72.86859,23:45,0,2,0,0,3,1.0,1,1,24.0,0.0848528137423864,Normal,9.12108977493757
0xc86,BANGRES12DEL02,37,4.9,12.939496,77.625999,12.989496,77.675999,18:30,1,3,2,2,4,1.0,1,1,18.0,0.0707106781186633,Fast,7.763102784727143
0x4a11,RANCHIRES07DEL02,31,4.7,23.359407,85.325055,23.439407,85.405055,20:15,2,1,0,1,3,1.0,1,3,46.0,0.11313708498984519,Slow,12.074047498027575
0x5f12,RANCHIRES16DEL01,30,4.7,23.371292,85.327872,23.411292,85.367872,16:15,0,3,0,3,3,1.0,1,1,26.0,0.05656854249492762,Normal,6.037193175494637
